[2026-09-25T19:26:39.578Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:39.578Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:39.579Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:39.733Z] GET http://127.0.0.1:8787/record.html → 200 (?ms, 4983B)
[2026-09-25T19:26:39.735Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@500;600;700&family=DM+Sans:wght@400;500;600;700&family=IBM+Plex+Mono:wght@400;500&display=swap → 200 (?ms, 11497B)
[2026-09-25T19:26:39.735Z] GET http://127.0.0.1:8787/style.css → 200 (?ms, 33566B)
[2026-09-25T19:26:39.735Z] GET http://127.0.0.1:8787/script.js → 200 (1ms, 4878B)
[2026-09-25T19:26:39.736Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4-Lwz3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:39.736Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4873z3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:39.736Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → 200 (1ms, ?B)
[2026-09-25T19:26:39.737Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:39.737Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:40.611Z] GET http://127.0.0.1:8787/index.html → 200 (1ms, 16307B)
[2026-09-25T19:26:40.614Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@500;600;700&family=DM+Sans:wght@400;500;600;700&family=IBM+Plex+Mono:wght@400;500&display=swap → 200 (?ms, 11497B)
[2026-09-25T19:26:40.614Z] GET http://127.0.0.1:8787/style.css → 200 (?ms, 33566B)
[2026-09-25T19:26:40.614Z] GET http://127.0.0.1:8787/script.js → 200 (?ms, 4878B)
[2026-09-25T19:26:40.614Z] GET http://127.0.0.1:8787/assets/muscatine.jpg → 200 (?ms, 2168906B)
[2026-09-25T19:26:40.615Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4-Lwz3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:40.616Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4873z3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:40.616Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:40.616Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:40.616Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:41.076Z] GET http://127.0.0.1:8787/index.html → 200 (1ms, 16307B)
[2026-09-25T19:26:41.079Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@500;600;700&family=DM+Sans:wght@400;500;600;700&family=IBM+Plex+Mono:wght@400;500&display=swap → 200 (?ms, 11497B)
[2026-09-25T19:26:41.079Z] GET http://127.0.0.1:8787/style.css → 200 (1ms, 33566B)
[2026-09-25T19:26:41.080Z] GET http://127.0.0.1:8787/script.js → 200 (?ms, 4878B)
[2026-09-25T19:26:41.080Z] GET http://127.0.0.1:8787/assets/muscatine.jpg → 200 (?ms, 2168906B)
[2026-09-25T19:26:41.081Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4-Lwz3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:41.081Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4873z3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:41.081Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:41.081Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
